"age","metallicity","velocity","Rgal","zgal","ecc"
4.17,0.14,41.049,8.033,0.068,0.14
2.02,0,52.593,7.973,0.079,0.12
4.69,-0.12,86.977,8.023,-0.012,0.26
3.97,0.02,48.384,8.012,0.027,0.18
3.09,-0.25,27.148,8.001,0.02,0.09
4.69,0.14,54.24,8.005,0.043,0.18
4.48,-0.31,82.904,7.983,0.031,0.21
2.53,0.1,47.718,8.01,0.031,0.14
4.57,-0.15,16.031,8.017,0.004,0.08
3.55,0.22,39.862,8.045,0.081,0.15
4.31,-0.17,64.14,8.015,-0.032,0.24
2.76,0.03,33.838,7.927,0.042,0.08
3.75,-0.06,28.302,7.955,0.065,0.1
2.6,-0.03,35.889,7.93,0.045,0.04
3.24,-0.09,62.266,8.016,-0.009,0.2
4.74,-0.35,67.305,8.002,-0.029,0.23
1.99,-0.01,35.482,7.987,0.06,0.04
1.96,-0.07,11.18,7.972,0.015,0.04
1.33,-0.07,50.527,8.022,0.023,0.13
12.78,-0.34,82.644,7.99,-0.019,0.26
1.33,0.11,25.515,7.997,0.028,0.06
1.94,-0.01,37.43,8.036,0.04,0.08
2,0.18,27.35,7.944,0.031,0.09
1.62,-0.04,9.11,7.983,-0.047,0.02
2.25,0.13,33.541,7.953,0.037,0.06
2.61,0.02,43.6,7.946,0.004,0.1
3.56,-0.03,29.223,7.961,0.015,0.09
3.59,0.09,32.465,7.987,0.019,0.11
3.66,-0.34,25.475,8.037,0.005,0.11
7.47,-0.11,41.821,8.026,0.003,0.1
1.8,0.07,47.686,7.962,0.04,0.17
1.39,-0.13,32.894,8.033,-0.015,0.09
4.81,0.01,13.638,7.977,0.078,0.07
1.43,-0.14,41.785,7.955,-0.015,0.09
7.39,-0.21,75.756,7.979,0.013,0.19
3.66,-0.28,30.332,7.979,-0.019,0.1
1.84,-0.09,19.95,8,0.024,0.05
11.75,-0.39,183.937,7.988,0.004,0.7
1.57,0.09,38.756,7.928,0.011,0.08
2.36,0.11,36.455,8.082,-0.057,0.12
1.66,0.11,28.74,7.943,0.052,0.06
1.82,0.11,33.66,7.971,-0.078,0.07
3.17,-0.17,22.383,8.104,0.039,0.11
5.11,-0.2,39.699,7.968,-0.005,0.04
1.57,0.14,50.99,8.006,0.018,0.17
3.64,-0.42,52.811,8.032,-0.045,0.16
1.3,0.06,17.916,7.971,0.107,0.07
2.92,-0.22,46.043,8.06,0.081,0.17
1.48,-0.04,19.105,8.024,-0.044,0.03
2.1,-0.12,27.857,8.079,-0.001,0.08
1.81,0.16,57.044,8.03,-0.027,0.14
1,0.18,59.975,7.96,-0.045,0.2
6.54,-0.26,99.101,7.969,0.023,0.3
6.54,-0.03,74.679,8.038,-0.05,0.18
1.93,0.08,30.232,7.958,0.041,0.08
8.49,-0.23,40.62,7.992,0.027,0.09
1.28,0.07,25.671,8.059,-0.065,0.06
5.45,0.13,63.984,8.029,-0.042,0.22
3.3,-0.24,48.301,8.098,0.047,0.14
8.45,-0.05,198.63,8.011,-0.04,0.53
2.08,0.27,24.104,8.01,0.013,0.08
2.51,-0.11,51.147,7.987,0.007,0.11
1.73,0.01,28.948,7.973,-0.051,0.1
3.35,-0.29,32.588,8.027,0.016,0.03
1.92,-0.21,14.457,7.97,0.02,0.07
1.51,0.17,33.511,7.992,0.04,0.06
2.33,-0.04,24.29,7.904,0.016,0.06
10.85,-0.16,83.546,8.066,-0.005,0.31
10.45,-0.23,23.854,8.028,0.017,0.02
1.92,-0.01,9.11,7.964,0.006,0.06
1.98,0.08,59.489,7.978,-0.068,0.2
1.69,0.25,27.019,7.987,0.067,0.1
2.61,0.11,49.01,7.924,0.028,0.13
3.34,-0.04,107.931,7.929,-0.004,0.3
2.47,-0.06,23.108,8,-0.113,0.09
2.57,0.01,30.659,7.979,0.008,0.1
2.97,0.21,34.9,8.048,-0.021,0.07
3.33,-0.11,93.252,8.011,-0.007,0.27
1.92,0.11,9.95,7.984,-0.008,0.07
2.59,0.1,10.05,8.013,0.013,0.03
1.45,0.09,29.631,7.987,0.066,0.07
2.03,-0.09,40.522,7.975,0.041,0.09
2.89,-0.23,18.055,8.047,0.007,0.05
1.77,0.25,72.952,7.914,-0.07,0.27
1.64,0.11,25.981,7.995,-0.099,0.03
5.42,0.07,38.131,7.98,-0.002,0.14
2.81,0.09,14.353,8.071,-0.074,0.04
2.26,-0.03,54.854,8.047,-0.063,0.15
4.4,-0.18,25.671,7.978,-0.044,0.06
4.58,-0.1,24.779,7.984,0.072,0.09
2.74,0.11,19.339,8.009,-0.036,0.03
2.07,0.06,40.719,7.973,0.07,0.09
1.08,0.05,41.917,7.965,0.045,0.09
2.29,0.18,24.839,7.933,-0.012,0.09
1.6,-0.06,31.016,8.02,0.02,0.07
11.91,-0.35,187.523,8.015,0.073,0.6
4.64,0.12,92.526,8.013,0.008,0.24
2.31,0,41.833,7.942,-0.016,0.06
3.09,-0.01,26.777,7.986,0.009,0.02
2.6,-0.13,31.113,8.079,-0.04,0.11
2.23,0.2,13.038,7.998,-0.097,0.02
1.76,0.06,7.681,7.999,0.043,0.04
1.41,0.06,16.186,8.005,-0.037,0.06
2.63,-0.12,44.373,7.998,0.049,0.15
2.22,-0.07,44.486,7.954,-0.081,0.17
3.38,0.04,72.615,8.042,0.008,0.22
2.79,-0.15,32.955,7.942,-0.046,0.07
4.9,0.05,25.554,7.929,0.048,0.09
3.2,0.25,35.595,8.009,0.042,0.12
2.28,-0.06,38.184,7.981,0.054,0.1
2.48,0.06,46.915,7.992,0,0.12
1.54,-0.09,18.166,8.069,0.025,0.09
3.76,-0.41,41.243,8.019,0.02,0.16
4,0.2,99.318,8.048,0.095,0.3
1.44,-0.01,26.552,7.921,-0.023,0.07
1.77,0.08,17.493,7.965,0.06,0.06
2.71,-0.19,21.909,7.975,-0.001,0.05
1.65,0.19,19.105,7.942,-0.065,0.08
3.23,0.2,29.138,8.015,-0.016,0.07
1.84,0.14,23.896,8,-0.056,0.06
4.9,0.02,128.612,8.015,0,0.34
5.07,-0.31,27.477,8.038,0.017,0.05
2.52,-0.12,32.016,7.971,0.025,0.09
2.87,0.08,64.405,8.012,0.041,0.16
1.5,-0.15,12.45,8.015,-0.033,0.08
5.98,0.02,26.306,7.986,-0.034,0.09
10.22,-0.1,120.888,7.941,-0.006,0.33
3.88,0.24,64.637,8,0.055,0.21
1.93,0.02,20.1,8.037,0.061,0.09
2.79,-0.03,15.133,7.972,-0.051,0.06
2.61,0.18,29.086,7.95,0.001,0.07
6.59,-0.55,39.925,8.011,0.032,0.14
2.1,-0.1,52.621,7.972,0.029,0.12
4.13,0.1,12.083,7.949,-0.021,0.06
2.04,0,11.705,8.105,0.089,0.07
4.39,0.14,43.612,8.002,0.054,0.07
1.44,0.01,13.153,7.996,0.076,0.04
5.44,-0.13,47.896,7.978,0.015,0.16
5.8,0.06,39.497,8.051,-0.014,0.1
2.06,0.01,24.779,8.021,-0.014,0.07
4.55,0.21,36.892,8.02,0.01,0.13
1.18,-0.13,15.395,7.979,-0.037,0.09
2.77,-0.07,65.307,8.028,0.029,0.19
2.1,0.25,42.166,8.001,-0.036,0.08
4.32,0.12,111.036,7.977,0.027,0.32
0.99,-0.06,14.866,7.966,0.043,0.01
1.19,0.09,36.455,8.014,-0.068,0.13
3.45,0.33,67.037,8.052,0.057,0.19
3.55,-0.02,43.943,7.969,0.027,0.07
2.38,0.05,31.385,8.069,0.065,0.07
2.16,-0.13,58.292,8.092,0.03,0.2
6.03,-0.27,17.059,7.998,-0.028,0.07
2.5,0.06,18.028,8.007,-0.061,0.07
3.72,-0.03,59.034,7.932,0.015,0.12
2.36,0.08,53.861,8.039,-0.064,0.1
6.76,0.21,69.029,7.923,-0.051,0.27
2.06,0.25,49.497,8.001,0.023,0.12
2.1,-0.03,45.431,7.914,0.036,0.16
9.18,-0.01,152.315,8.036,0.014,0.45
2.3,-0.2,24.92,8.032,-0.027,0.04
4.66,0.04,67.683,7.95,0.01,0.14
0.71,-0.06,31.464,7.961,-0.016,0.06
3.52,-0.13,36.263,8.019,-0.037,0.09
2.06,-0.17,42.732,8.041,-0.018,0.09
2.67,-0.07,49.538,8.006,-0.008,0.12
1.77,-0.1,43.243,8.068,-0.007,0.11
3.13,0.04,74.733,8.079,0.008,0.19
1.57,0.02,30.48,8.009,-0.117,0.06
1.22,0.05,22.716,8.007,-0.006,0.03
2.44,0.22,18.412,8.014,-0.044,0.03
1.4,-0.02,21.26,7.93,0.044,0.08
2.37,-0.25,48.135,7.995,-0.035,0.13
2.34,0.13,32.909,7.947,-0.02,0.1
2.22,-0.03,37.216,8.015,-0.021,0.12
5.68,0.11,43.37,8.017,-0.06,0.15
10.08,-0.22,55.516,7.995,0.035,0.19
0.81,-0.06,17.234,7.975,-0.036,0.06
3.74,0.05,46.904,8.021,-0.005,0.11
2.27,-0.07,73.376,8.055,-0.007,0.25
8.96,0.14,29.58,8.002,-0.044,0.05
2.97,0.19,27.586,8.047,0.072,0.07
2.9,0.1,34.54,8.06,0.074,0.11
5.04,0.27,44.956,7.983,-0.041,0.1
1.34,0.08,47.276,7.951,0.016,0.14
2.5,0.05,22.361,8.004,-0.069,0.06
8.52,-0.25,84.688,8.073,-0.013,0.19
1.45,-0.03,23.152,7.991,0,0.05
2.34,0.31,60.05,7.951,0.083,0.16
1.53,-0.02,29.766,8.009,0.036,0.07
1.71,-0.1,50.21,8.04,0.087,0.17
8.84,0.21,79.051,7.966,-0.024,0.24
2.15,0.27,40.915,7.958,-0.048,0.15
2.61,-0.13,17.521,8.016,-0.025,0.04
1.6,-0.15,57.715,8.022,0.002,0.13
2.1,0.15,30.083,8.053,0.077,0.1
2.81,0.22,18.466,7.952,-0.039,0.05
8.57,0.11,48.539,7.974,0.055,0.18
1.87,0.38,35.44,7.946,-0.039,0.05
5.36,-0.19,45.804,7.992,-0.01,0.13
1.7,-0.17,18.385,7.928,0.038,0.01
2.58,0.07,34.147,7.94,-0.051,0.09
1.7,0.21,19.105,7.996,0.041,0.08
7.79,-0.05,81.933,8.022,-0.002,0.14
6.25,0.04,24.083,8.006,0.013,0.04
1.03,0.03,16.823,7.991,0.045,0.08
4.06,-0.43,65.704,8.044,0.068,0.2
2.38,0.09,30.871,7.999,-0.01,0.07
2.01,-0.12,11.662,7.935,-0.024,0.05
1.96,0.09,56.462,8.042,-0.018,0.18
5.29,-0.2,35,8.026,-0.044,0.12
6.05,0.16,16.763,7.997,-0.033,0.05
2.37,-0.08,53.61,7.964,-0.036,0.14
2.33,-0.03,21.471,7.989,-0.045,0.09
2.92,-0.01,46.4,7.965,0.057,0.13
13.13,-0.98,167.884,7.972,0.021,0.66
1.99,0.15,48.836,8.039,-0.051,0.11
0.86,0.02,30.79,8.042,0.003,0.09
2.2,0.19,14.866,7.951,-0.025,0.08
3,0.14,38.549,8.013,-0.039,0.08
1.6,0.37,31.765,7.899,-0.034,0.11
0.73,0.12,41.012,7.934,-0.004,0.08
1.74,0.09,45.618,8.043,-0.02,0.11
2.69,-0.2,22.935,8.034,0.078,0.08
2.62,-0.05,56.285,7.949,-0.057,0.19
1.69,0.04,22.226,8.007,-0.121,0.1
11.77,-0.48,30.512,8.02,0.016,0.12
2.32,0.3,31.639,8.027,-0.042,0.09
1.99,0.08,26.926,7.975,0.056,0.08
1.33,0.16,20.224,7.968,-0.105,0.08
1.42,0.09,61.53,7.878,0.004,0.15
2.33,0.09,29.086,7.93,0.02,0.02
7.26,0.04,51.827,8.018,0.052,0.16
1.02,0.03,39.395,8.036,-0.024,0.09
2.86,-0.03,19.647,8,0.069,0.01
1.52,-0.03,36.905,7.983,0.008,0.11
1.58,0.17,48.114,7.94,-0.081,0.16
2.55,-0.06,14.318,8.045,0.003,0.08
1.88,-0.03,30.887,7.966,0.091,0.06
4.86,-0.28,60.175,7.957,0.028,0.15
9.02,0.25,40.262,8.015,-0.026,0.14
2.81,0.22,47.212,8.027,-0.036,0.12
3.81,-0.12,48.918,7.964,-0.009,0.11
1.85,0.04,41.893,8.09,0.022,0.1
2.14,-0.08,24.29,7.923,-0.016,0.06
1.19,0.03,14.353,7.974,0.013,0.07
4.77,-0.12,22.825,7.946,-0.022,0.06
0.71,-0.13,24.187,7.969,0.045,0.05
4.59,-0.32,22.023,8.041,-0.006,0.04
0.98,-0.15,28.443,7.953,0.005,0.09
2.09,0.08,33.779,8.049,0.017,0.11
1.98,0.16,36.194,8.065,-0.071,0.05
3.19,-0.48,43.394,7.994,0.145,0.19
2,0.19,34.583,8.039,-0.004,0.1
2.55,-0.04,24.92,8.037,0.014,0.01
4.6,0.1,33.076,8.032,-0.034,0.1
3.74,0.1,37.175,8.008,0.008,0.16
2.91,0,16.279,8.023,-0.01,0.06
2.5,0.01,29.292,7.97,-0.093,0.1
5.08,-0.08,85.463,7.977,0.031,0.21
1,-0.07,60.754,7.985,0.04,0.14
3.74,0.14,17.607,7.998,0.04,0.05
2.1,0.24,50.636,8.046,0.092,0.12
2.22,0.09,32.062,7.931,-0.088,0.06
7.49,-0.04,82.486,8.02,0.06,0.25
1.03,-0.08,53.535,7.968,0.031,0.12
2.26,0.01,15.427,8.078,0.01,0.04
2.23,0.09,5.196,8.062,0.001,0.05
2.08,-0.25,39.56,8.047,-0.055,0.09
3.71,0.04,42.45,7.983,0.071,0.11
8.27,-0.24,53.151,8.025,-0.029,0.17
1.16,0.06,28.178,7.931,0.036,0.09
2.28,0.02,29.086,8.005,0.033,0.06
6.13,0.02,126.732,8.039,-0.056,0.46
3.1,-0.13,63.757,7.949,0.003,0.17
3.75,0.21,45.321,7.978,-0.033,0.14
2.11,-0.04,45.022,7.95,-0.076,0.1
4.18,0.21,51.894,8.034,0.035,0.17
2.96,-0.14,90.349,8.045,0.027,0.26
1.38,0.21,23.216,7.907,-0.074,0.02
2.14,0.11,26.926,7.92,0.026,0.1
10.27,-0.35,163.612,8.046,0.085,0.52
2.69,0.05,14.353,8.061,-0.078,0.02
2.92,0.1,47.634,8.073,-0.06,0.15
3.29,0.31,54.387,8.055,0.046,0.16
2.47,0.19,55.399,7.99,-0.027,0.13
5.87,-0.16,52.019,8.01,0.063,0.03
2.05,-0.11,34.799,8.005,0.073,0.1
3.02,-0.08,11.18,7.975,0.089,0.04
2.24,0.05,35.355,8.07,0.05,0.09
3.01,-0.17,28.249,8.013,-0.017,0.08
4.8,-0.14,70.385,8.006,0.022,0.24
2.83,-0.02,50.695,8.036,0.014,0.12
1.43,0.2,34.234,8.001,0.064,0.07
2.56,0.14,19.9,7.899,0.047,0.08
1.9,0.18,41.605,7.906,0.023,0.14
1.44,0.14,32.588,7.96,-0.021,0.07
2.25,0.32,36.056,7.958,0.068,0.1
2.18,-0.01,27.276,8.072,-0.006,0.08
4.5,-0.01,35.014,8.027,-0.042,0.07
0.78,-0.04,39.115,8.063,-0.026,0.06
1.71,-0.3,20.347,7.96,0.012,0.07
11.1,-0.47,93.268,7.95,-0.042,0.3
2.55,0,59.573,8.027,-0.021,0.2
1.56,-0.13,19.748,7.984,-0.013,0.03
8.77,-0.21,33.971,7.953,0.069,0.13
1.6,0.02,21.977,7.956,0.046,0.04
2.83,0.13,44.744,7.933,0.034,0.14
1.53,0.15,37.376,8.072,-0.079,0.09
8.03,-0.03,55.045,8.026,-0.009,0.19
2.3,-0.02,8.602,8.098,0.054,0.04
1.62,0,17.72,8.006,-0.047,0.08
13.13,-0.12,48.394,8.016,-0.052,0.12
1.72,0.28,51.488,8.001,-0.026,0.13
3.34,-0.08,113.882,8.013,-0.078,0.31
3.03,-0.06,27.368,8.009,-0.072,0.09
3.35,0.27,52.44,8,-0.008,0.19
2.21,0.26,45.188,7.934,-0.131,0.08
3.37,0.25,62.522,7.909,0.005,0.2
0.87,0.08,28.983,7.99,-0.019,0.07
3.39,0.14,62.04,8.043,0.029,0.22
5.91,-0.01,19.748,7.993,0.016,0.07
7.98,-0.37,56.178,7.941,0.035,0.2
4.03,-0.34,14.866,7.966,-0.008,0.05
2.2,-0.01,48.031,7.9,-0.021,0.15
3.42,-0.13,32.939,7.95,0.011,0.06
1.93,0.1,8.775,8.038,0.064,0.05
2.21,-0.02,44.215,8.066,0.053,0.16
1.96,0.08,32.45,7.953,0.104,0.08
4.75,-0.2,79,7.926,-0.032,0.21
1.31,0,15.133,8.081,-0.012,0.06
1.73,0.24,54.708,7.971,-0.016,0.18
2.71,0.09,50.06,8.027,-0.071,0.14
2.15,-0.07,34.886,7.948,-0.004,0.08
1.56,0,29.138,8.094,0.049,0.06
2.85,-0.08,35.341,7.963,-0.029,0.11
1.78,-0.03,49.457,8.042,-0.046,0.17
2.38,0.27,46.022,8.021,0.041,0.04
2.38,0.21,16.673,8.097,0.014,0.04
1.38,0.1,25.318,8.046,-0.046,0.1
1.41,0.15,25.159,7.976,-0.068,0.06
1.76,0.13,37.67,8.052,-0.037,0.08
2.37,-0.07,19.026,8.017,0.052,0.04
3.72,-0.18,18.815,8.061,0.082,0.08
3.48,0.08,26.019,8.031,0.017,0.08
10.37,0.01,38.962,8.013,-0.068,0.14
10.73,-0.01,54.873,7.988,-0.028,0.14
4.58,-0.1,63.071,8.02,-0.058,0.22
6.35,-0.01,112.33,7.991,-0.024,0.37
9.36,-0.11,70.37,8,-0.043,0.14
2,-0.01,22.023,8.001,-0.06,0.09
2.71,0.07,36.139,7.952,-0.008,0.08
11.32,-0.37,170.757,7.967,0.014,0.47
9.7,-0.31,70.47,8.04,0.054,0.19
1.43,0,21.772,7.965,0.003,0.05
6.14,-0.57,44.844,8.063,0.02,0.17
1.87,0,20.05,8.029,-0.022,0.07
4.66,-0.21,40.804,8.084,-0.043,0.18
5.05,0.2,53.235,7.954,0.01,0.19
11.31,0.05,43.578,7.998,0.013,0.16
1.78,0.08,71.056,7.958,-0.031,0.21
3.72,0.04,60.803,8.065,-0.019,0.15
3.48,0.04,91.071,7.985,0.053,0.24
2.26,0.29,88.023,7.905,0.05,0.26
1.33,-0.09,20.494,7.965,-0.032,0.09
4.57,0.02,18.894,8.003,-0.054,0.08
1.47,-0.24,66.25,8.004,-0.013,0.21
3.74,0.01,41.158,7.958,-0.064,0.13
2.03,-0.03,73.301,7.957,0.023,0.25
3.36,-0.06,32.527,8.004,0.012,0.12
7.64,-0.27,106.696,8.033,0.055,0.41
2.1,0.24,24.617,7.96,0.079,0.07
2.9,-0.2,60.514,8.116,-0.006,0.17
3.66,-0.16,8.602,8.039,-0.006,0.06
10.94,-0.44,128.565,8.002,-0.014,0.38
2.65,0.3,33.076,7.91,-0.004,0.08
2.33,-0.02,31.765,7.959,-0.083,0.11
2.11,-0.1,56.009,8.026,0.028,0.13
2.24,0.08,59.313,8.08,-0.044,0.17
2.88,0.14,54.571,8.016,-0.044,0.13
1.41,-0.01,48.672,7.976,-0.016,0.12
3.57,0.01,37.855,8.082,0.043,0.06
3.36,-0.04,54.599,7.957,0.026,0.18
2.59,0.09,22.561,8.07,-0.059,0.01
4.05,-0.3,42.568,7.956,0.015,0.12
1.94,0.13,53.038,7.927,-0.008,0.18
1.12,-0.04,28.948,7.999,0.035,0.07
3.63,0.08,47.011,8.003,-0.049,0.14
6.16,-0.06,65.284,8.007,0.018,0.17
1.95,0.15,17.205,8.054,-0.067,0.07
1.93,0.01,11.446,8.029,-0.033,0.04
1.66,-0.02,31.257,7.994,-0.04,0.06
12.3,-0.6,117.669,7.993,0.04,0.31
2.16,-0.12,28.16,8.007,0.029,0.12
1.82,0.08,22.091,8.015,-0.058,0.02
2,0.11,11.747,8.02,0.092,0.05
1.84,0.08,31.417,8.066,0.008,0.1
3.58,0.13,18.493,8.069,0.06,0.06
2.94,-0.31,40.817,7.929,-0.015,0.13
6.41,-0.31,65.544,8.055,0.025,0.15
3.05,0.08,64.226,8.019,-0.056,0.21
4.35,-0.01,51.701,8.062,-0.087,0.16
2.95,0.04,31.032,7.95,-0.066,0.11
2.51,-0.16,31.401,7.99,0.048,0.13
3.08,0.17,42.059,8.065,-0.093,0.15
3.14,0,50.448,7.982,0.113,0.16
3.16,0.15,49.285,8.002,0,0.17
1.66,0.08,43.6,7.995,0.004,0.13
1.84,0.19,19.339,8.029,0.036,0.05
9.28,-0.42,41.316,7.982,-0.056,0.09
4.04,0.08,80.119,7.991,0.022,0.2
1.49,-0.2,34.366,8.028,-0.016,0.09
2.81,0.14,66.761,8.005,0.061,0.06
1.71,0.01,45.749,7.979,-0.064,0.14
5.46,-0.31,61.758,7.941,0.077,0.14
6.98,-0.15,52.479,8.028,0.035,0.11
2.11,-0.02,38.432,7.984,-0.059,0.13
1.1,-0.09,26.926,7.96,-0.045,0.05
1.86,0.15,34.914,7.972,0.005,0.08
5.94,-0.18,38.158,7.994,0.086,0.08
2.59,0.11,23.685,7.962,0.028,0.05
3.21,-0.05,34.986,8.021,0.04,0.11
6.07,-0.32,23.937,8.062,-0.064,0.11
2.1,-0.19,49.041,8.009,-0.058,0.16
3.5,-0.07,31.209,7.904,-0.018,0.08
1.42,-0.06,29.12,8.006,0.02,0.06
8.8,0,47.896,8.002,0.024,0.05
0.73,0.08,30.15,8.003,-0.018,0.07
2.83,-0.38,38.859,8.071,0.017,0.11
3.35,0.01,52.707,8,0.046,0.07
2.55,-0.08,50.931,8.011,0.04,0.1
1.48,0.03,40.927,8.031,0.001,0.08
1.36,0.19,49.193,7.912,0.019,0.13
1.58,-0.16,18.055,7.95,0.032,0.06
4.34,-0.02,31.048,7.915,-0.057,0.11
2.14,0.1,29.223,8.044,0.021,0.08
8.08,-0.45,60.737,8.021,0.003,0.19
2.51,0.17,9.11,7.967,0.014,0.01
1.87,0.14,42.673,8.082,-0.001,0.1
4.27,0.22,36.633,8.019,-0.069,0.1
2.75,-0.12,83.869,8.01,-0.063,0.24
2.92,0.05,78.096,7.952,-0.091,0.23
4.29,0.05,86.701,8.036,-0.011,0.24
2.04,0.02,23.345,8.009,0.034,0.08
3.32,-0.01,66.227,7.924,0.008,0.2
1.68,-0.01,6.928,7.948,-0.019,0.02
1.73,0.4,36.62,8.035,-0.018,0.14
6.11,-0.2,15.62,7.994,-0.015,0.03
1.56,0.31,32.588,8.049,0.098,0.1
1.27,-0.3,48.052,8.006,-0.047,0.15
1.45,-0.07,20.712,8.019,-0.001,0.05
2.77,-0.07,13.038,8.04,0.113,0.01
10.89,-0.03,41.952,8.002,0.023,0.1
1.61,0.06,47.053,7.948,0.025,0.11
2.05,0.11,53.16,7.95,-0.001,0.12
2.59,-0.07,42.953,7.995,-0.056,0.1
2.89,-0.11,47.413,7.952,-0.021,0.16
2.3,0.18,25.08,8.05,-0.044,0.1
1.98,-0.22,30.1,8.087,-0.019,0.07
2.39,0.01,41.413,8.058,-0.052,0.09
1.34,0.1,46.519,8.044,-0.017,0.11
2.22,-0.02,35.228,7.973,0.048,0.08
1.27,-0.22,25.923,8.016,0.091,0.09
2.02,0.13,12.45,8.06,0.069,0.04
1.96,0.05,31.953,8.032,-0.008,0.06
3.43,0.02,49.254,7.999,0.043,0.18
2.1,0.04,34.073,8.024,0.029,0.07
1.79,0,52.839,7.994,0.034,0.13
3.76,0.1,3.162,7.988,0.016,0.03
5.38,0.34,27.221,8.018,-0.033,0.07
2.68,0.2,36.62,8.001,0.037,0.12
2.05,-0.01,33.838,7.979,0.05,0.07
5.04,-0.14,69.814,7.99,-0.067,0.23
2.42,-0.03,34.583,8.029,0.05,0.1
2.02,-0.02,74.873,8.058,0.002,0.26
11.52,-0.55,299.292,7.967,0.022,0.82
2.86,0.12,26.589,8.02,-0.041,0.04
2.26,0.02,19.95,7.961,0.046,0.02
2.71,-0.01,65.886,8.023,-0.072,0.2
3.94,-0.23,29.223,7.999,-0.018,0.09
1.81,-0.17,37.39,7.953,-0.033,0.08
2.58,0.21,23.854,7.947,0.065,0.02
2.3,-0.1,16.401,7.998,-0.035,0.08
1.77,-0.04,18.221,7.994,0.036,0.02
4.27,0.11,42.485,7.976,-0.031,0.15
6.19,0.14,34.799,8.018,0.084,0.09
2.8,-0.05,46.508,8.004,0.066,0.15
2.44,-0.15,20.347,8.021,-0.012,0
6.22,-0.18,69.534,7.968,0.013,0.14
2.05,-0.02,57.385,8.009,-0.028,0.14
1.38,0.03,46.861,7.987,-0.024,0.11
2.02,0.1,17.55,7.964,0.045,0.07
2.38,-0.03,23.216,8.019,-0.052,0.04
5.88,0,53.61,7.968,-0.081,0.19
2.49,0.23,51.971,8.046,0.103,0.17
1.15,0.01,21.61,7.941,0.008,0.04
2.18,0.08,31.064,8.003,-0.017,0.07
3.63,-0.22,20.928,8.035,-0.068,0.02
3.95,0.19,91.4,7.938,-0.014,0.24
1.62,-0.12,49.132,7.978,-0.005,0.12
6.51,-0.06,66.948,7.969,-0.039,0.17
1.97,0.25,43.046,8.086,0.017,0.12
2.36,-0.21,39.699,7.958,0.078,0.14
